,Country,Year,Population,Area (Km2),Total CO2 Emission including LUCF (Mt),Total CO2 Emission excluding LUCF (Mt),Other Fuel Combustion (Mt),Land-Use Change and Forestry (Mt),Industrial Processes (Mt),Fugitive Emissions (Mt),Sub-Region_Eastern Africa,Sub-Region_Middle Africa,Sub-Region_Northern Africa,Sub-Region_Southern Africa,Sub-Region_Western Africa
0,0,2000,30774621,2381741,158.84,80.05,0.0,0.57,3.79,14.75,0.0,0.0,1.0,0.0,0.0
1,0,2001,31200985,2381741,155.51,78.65,0.0,0.0,3.77,11.86,0.0,0.0,1.0,0.0,0.0
2,0,2002,31624696,2381741,162.93,82.4,0.0,0.0,4.06,10.2,0.0,0.0,1.0,0.0,0.0
3,0,2003,32055883,2381741,174.23,88.19,0.0,0.0,4.03,12.17,0.0,0.0,1.0,0.0,0.0
4,0,2004,32510186,2381741,176.3,89.49,0.0,0.0,4.9,11.22,0.0,0.0,1.0,0.0,0.0
5,0,2005,32956690,2381741,185.06,94.19,0.0,0.0,5.66,11.05,0.0,0.0,1.0,0.0,0.0
6,0,2006,33435080,2381741,195.30999999999997,99.81,0.0,0.0,6.54,12.51,0.0,0.0,1.0,0.0,0.0
7,0,2007,33983827,2381741,200.73,102.75,0.0,0.0,7.0,10.87,0.0,0.0,1.0,0.0,0.0
8,0,2008,34569592,2381741,210.17000000000002,107.75,0.0,0.0,7.58,12.03,0.0,0.0,1.0,0.0,0.0
9,0,2009,35196037,2381741,218.49,112.17,3.93,0.0,8.22,9.51,0.0,0.0,1.0,0.0,0.0
10,0,2010,35856344,2381741,222.57,114.18,3.57,0.0,8.25,10.29,0.0,0.0,1.0,0.0,0.0
11,0,2011,36543541,2381741,235.63,120.78,3.96,0.0,8.19,9.7,0.0,0.0,1.0,0.0,0.0
12,0,2012,37260563,2381741,264.41,134.93,3.53,0.0,7.7,14.75,0.0,0.0,1.0,0.0,0.0
13,0,2013,38000626,2381741,273.2,139.02,4.12,0.0,7.3,15.89,0.0,0.0,1.0,0.0,0.0
14,0,2014,38760168,2381741,290.1,147.74,2.37,0.0,7.67,16.88,0.0,0.0,1.0,0.0,0.0
15,0,2015,39543154,2381741,306.87,156.27,2.49,0.0,8.06,17.72,0.0,0.0,1.0,0.0,0.0
16,0,2016,40339329,2381741,302.49,154.65,2.65,0.2,9.11,17.66,0.0,0.0,1.0,0.0,0.0
17,0,2017,41136546,2381741,307.59,157.7,3.33,0.2,10.08,17.08,0.0,0.0,1.0,0.0,0.0
18,0,2018,41927007,2381741,321.59999999999997,164.53,4.2,0.2,9.75,17.49,0.0,0.0,1.0,0.0,0.0
19,0,2019,42705368,2381741,332.78,170.58,5.73,0.2,10.1,18.13,0.0,0.0,1.0,0.0,0.0
20,0,2020,43451666,2381741,315.34000000000003,161.56,4.74,0.2,8.96,18.09,0.0,0.0,1.0,0.0,0.0
21,1,2000,16394062,1246700,43.94,16.2,0.0,10.19,0.08,11.49,0.0,1.0,0.0,0.0,0.0
22,1,2001,16941587,1246700,68.74000000000001,15.96,0.0,35.51,0.22,10.7,0.0,1.0,0.0,0.0,0.0
23,1,2002,17516139,1246700,67.99,15.69,0.01,35.51,0.24,9.95,0.0,1.0,0.0,0.0,0.0
